id,name,location_desc,country_code,state
id_CNB1,INCNB1,Car‐Nicobar,IN,Andaman and Nicobar
id_CRN1,INCRN1,Cornwallis,IN,Andaman and Nicobar
id_MYB1,INMYB1,Mayabandar,IN,Andaman and Nicobar
id_ESH1,INESH1,Elphinstone Harbour,IN,Andaman and Nicobar
id_RGT1,INRGT1,Ranghat Bay,IN,Andaman and Nicobar
id_MDW1,INMDW1,Meadows,IN,Andaman and Nicobar
id_NAN1,INNAN1,Nancowrie,IN,Andaman and Nicobar Isl.
id_IXZ1,INIXZ1,Port Blair,IN,Andaman and Nicobar Isl.
id_IXZ4,INIXZ4,Port Blair,IN,Andaman and Nicobar Isl.
id_HYD4,INHYD4,Hyderabad Air Cargo,IN,Andhra Pradesh
id_BNP1,INBNP1,Bheemunipatnam,IN,Andhra Pradesh
id_NVP1,INNVP1,Navaspur ,IN,Andhra Pradesh
id_VTZ1,INVTZ1,Vizac Sea,IN,Andhra Pradesh
id_SRV1,INSRV1,Surasani ‐ Yanam,IN,Andhra Pradesh
id_VTZ6,INVTZ6,Visakhapatnam (EPZ/SEZ),IN,Andhra Pradesh
id_VRU1,INVRU1,Vadarevu,IN,Andhra Pradesh
id_KAK1,INKAK1,Kakinada,IN,Andhra Pradesh
id_RPL6,INRPL6,Raddipalem,IN,Andhra Pradesh
id_KDD6,INKDD6,Karedu,IN,Andhra Pradesh
id_VTZ4,INVTZ4,Vishakapatnam,IN,Andhra Pradesh
id_APT6,INAPT6,Anaparthi,IN,Andhra Pradesh
id_CLX6,INCLX6,Chirala,IN,Andhra Pradesh
id_SNF6,INSNF6,Hyderabad,IN,Andhra Pradesh
id_COI6,INCOI6,Kakinada,IN,Andhra Pradesh
id_MAP1,INMAP1,Masulipatnam,IN,Andhra Pradesh
id_KRI1,INKRI1,Krishnapatnam,IN,Andhra Pradesh
id_AKP6,INAKP6,APIICL SEZ/Visakhapatnam,IN,Andhra Pradesh
id_TNI6,INTNI6,HIPL SEZ/Visakhapatnam,IN,Andhra Pradesh
id_AKR6,INAKR6,RPCIPL SEZ/Visakhapatnam,IN,Andhra Pradesh
id_VZM6,INVZM6,DLL SEZ/Visakhapatnam,IN,Andhra Pradesh
id_AKB6,INAKB6,BIACPL SEZ/Visakhapatnam,IN,Andhra Pradesh
id_NRP6,INNRP6,AAL‐SEZ/Visakhapatnam,IN,Andhra Pradesh
id_MOV6,INMOV6,VBTL‐SEZ/Medak,IN,Andhra Pradesh
